Source Rank,Full Name
1,Nail Yakupov
2,Matt Dumba
3,Morgan Rielly
4,Alex Galchenyuk
5,Teuvo Teravainen
6,Griffin Reinhart
7,Filip Forsberg
8,Malcolm Subban
9,Matt Finn
10,Hampus Lindholm
11,Cody Ceci
12,Jacob Trouba
13,Ryan Murray
14,Mark Jankowski
15,Andrei Vasilevskiy
16,Zemgus Girgensons
17,Radek Faksa
18,Derrick Pouliot
19,Ludwig Bystrom
20,Mikhail Grigorenko
21,Tom Wilson
22,Tomas Hertl
23,Michael Matheson
24,Scott Laughton
25,Gemel Smith
26,Brady Skjei
27,Sebastian Collberg
28,Olli Maatta
29,Henrik Samuelsson
30,Phillip Di Giuseppe
