Source Rank,Full Name
1,Nail Yakupov
2,Filip Forsberg
3,Ryan Murray
4,Mikhail Grigorenko
5,Jacob Trouba
6,Griffin Reinhart
7,Morgan Rielly
8,Matt Dumba
9,Teuvo Teravainen
10,Cody Ceci
11,Brendan Gaunce
12,Olli Maatta
13,Sebastian Collberg
14,Alex Galchenyuk
15,Nicolas Kerdiles
16,Radek Faksa
17,Tom Wilson
18,Matt Finn
19,Hampus Lindholm
20,Pontus Aberg
21,Slater Koekkoek
22,Derrick Pouliot
23,Scott Laughton
24,Zemgus Girgensons
25,Colton Sissons
26,Brady Skjei
27,Henrik Samuelsson
28,Dalton Thrower
29,Ludwig Bystrom
30,Adam Pelech
