Source Rank,Full Name
1,Nathan MacKinnon
2,Seth Jones
3,Jonathan Drouin
4,Aleksander Barkov
5,Elias Lindholm
6,Valeri Nichushkin
7,Sean Monahan
8,Rasmus Ristolainen
9,Darnell Nurse
10,Max Domi
11,Nikita Zadorov
12,Alexander Wennberg
13,Bo Horvat
14,Hunter Shinkaruk
15,Anthony Mantha
16,Mirco Mueller
17,Samuel Morin
18,Curtis Lazar
19,Zachary Fucale
20,Adam Erne
21,Kerby Rychel
22,Frederik Gauthier
23,Ryan Pulock
24,Andre Burakovsky
25,Valentin Zykov
26,Ryan Hartman
27,Robert Hagg
28,Josh Morrissey
29,Jacob De La Rose
30,Morgan Klimchuk
