Source Rank,Full Name
1,Ryan Nugent-Hopkins
2,Gabriel Landeskog
3,Jonathan Huberdeau
4,Adam Larsson
5,Ryan Strome
6,Mika Zibanejad
7,Mark Scheifele
8,Sean Couturier
9,Dougie Hamilton
10,Jonas Brodin
11,Duncan Siemens
12,Ryan Murphy
13,Sven Baertschi
14,Jamie Oleksiak
15,J.T. Miller
16,Joel Armia
17,Nathan Beaulieu
18,Mark McNeill
19,Oscar Klefbom
20,Connor Murphy
21,Stefan Noesen
22,Tyler Biggs
23,Joe Morrow
24,Matt Puempel
25,Stuart Percy
26,Phillip Danault
27,Vladislav Namestnikov
28,Zack Phillips
29,Nicklas Jensen
30,Rickard Rakell
31,David Musil
32,Ty Rattie
33,Rocco Grimaldi
34,Scott Mayfield
35,Tomas Jurco
36,Adam Clendening
37,Boone Jenner
38,Magnus Hellberg
39,John Gibson
40,Alexander Khokhlachev
41,Dmitrij Jaskin
42,Victor Rask
43,Brandon Saad
44,Brett Ritchie
45,Markus Granlund
46,Joel Edmundson
47,Matt Nieto
48,Xavier Ouellet
49,Christopher Gibson
50,Johan Sundstrom
51,Alexander Ruuttu
52,Miikka Salomaki
53,William Karlsson
54,Scott Harrington
55,Ryan Sproul
56,Lucas Lessio
57,Tyler Wotherspoon
58,Nikita Kucherov
59,Rasmus Bengtsson
60,Mario Lucia
61,Shane Prince
62,Samu Perhonen
63,Andrey Pedan
64,Vincent Trocheck
65,Joseph Cramarossa
66,T.J. Tynan
67,Adam Lowry
68,Nick Cousins
69,forfeited pick
70,Michael Paliotta
71,David Honzik
72,Steven Fogarty
73,Keegan Lowe
74,Travis Ewanyk
75,Blake Coleman
76,Logan Shaw
77,Daniel Catenacci
78,Brennan Serville
79,Klas Dahlbeck
80,Andy Andreoff
81,Anthony Camara
82,Nick Shore
83,Andy Welinski
84,Harrison Ruopp
85,Alan Quine
86,Josh Leivo
87,Jonathan Racine
88,Jordan Binnington
89,Justin Sefton
90,Alexandre Grenier
91,Kyle Rau
92,Dillon Simpson
93,Joachim Nermark
94,Josh Shalla
95,Robbie Russo
96,Jean-Gabriel Pageau
97,Josiah Didier
98,Mike Reilly
99,Reid Boucher
100,Tom Nilsson
101,Joseph Labate
102,Yannick Veilleux
103,Gregory Hofmann
104,Johnny Gaudreau
105,Emil Molin
106,Michael St. Croix
107,Colin Jacobs
108,Olivier Archambault
109,Maxim Shalunov
110,Michael Mersch
111,Kale Kessy
112,Garrett Noonan
113,Magnus Nygren
114,Tobias Rieder
115,Marek Tvrdon
116,Colin Suellentrop
117,Steffen Soberg
118,Marcel Noebels
119,Zachary Yuen
120,Ludwig Blomstrand
121,Brian Ferlin
122,Martin Gernat
123,Garrett Meurs
124,Yaroslav Kosov
125,John Persson
126,Fredrik Claesson
127,Brenden Kichton
128,Seth Ambroz
129,Blake Pietila
130,Tony Cameranesi
131,Nick Seeler
132,Niklas Lundstrom
133,Sean Kuraly
134,Shane McColgan
135,Troy Vance
136,Samuel Noreau
137,Alex Lepkowski
138,Darren Dietz
139,Andrew Shaw
140,Joel Lowry
141,Darian Dziurzynski
142,Simon Karlsson
143,Max Friberg
144,Dominik Uher
145,Philippe Hudon
146,Mattias Backman
147,Patrick Koudys
148,Nikita Nesterov
149,Austen Brassard
150,Frank Corrado
151,Rob O'Gara
152,David Broll
153,Gabriel Beaupre
154,Eddie Wittchow
155,Andrew Fritsch
156,Darren Kramer
157,Jason Kasdorf
158,Lukas Sedlak
159,Reece Scarlett
160,Josh Manson
161,Steve Michalek
162,Ryan Tesink
163,Matt Mahalak
164,Laurent Brossoit
165,Matej Stransky
166,Daniil Sobchenko
167,Nathan Lieuwen
168,Daniel Pribyl
169,Sam Jardine
170,Chase Balisy
171,Max McCormick
172,Peter Ceresnak
173,Dennis Robertson
174,Josh Archibald
175,Richard Nedomlel
176,Petr Placek
177,Travis Boyd
178,Adam Wilcox
179,Dylan DeMelo
180,Pathrik Westerholm
181,Lars Volden
182,Frans Tuohimaa
183,Dillon Donnelly
184,Iiro Pakarinen
185,Mitchell Theoret
186,Jordan Fransoo
187,Aaron Harstad
188,Anton Forsberg
189,Patrick Daly
190,Garret Sparks
191,Tyler Graovac
192,Teemu Eronen
193,Brody Sutter
194,Colin Blackwell
195,Jyrki Jokipakka
196,Zac Larraza
197,Brad Navin
198,Colin Sullivan
199,Alex Broadhurst
200,Michael Schumacher
201,Matthew Peca
202,Brent Andrews
203,Max Everson
204,Ryan Dzingel
205,Alexey Marchenko
206,Derek Mathers
207,Garrett Haar
208,Ondrej Palat
209,Scott Wilson
210,Henrik Tommernes
211,Johan Mattsson
