Source Rank,Full Name
1,Ryan Nugent-Hopkins
2,Gabriel Landeskog
3,Jonathan Huberdeau
4,Adam Larsson
5,Ryan Strome
6,Mika Zibanejad
7,Mark Scheifele
8,Sean Couturier
9,Dougie Hamilton
10,Jonas Brodin
11,Duncan Siemens
12,Ryan Murphy
13,Sven Baertschi
14,Jamie Oleksiak
15,J.T. Miller
16,Joel Armia
17,Nathan Beaulieu
18,Mark McNeill
19,Oscar Klefbom
20,Connor Murphy
21,Stefan Noesen
22,Tyler Biggs
23,Joe Morrow
24,Matt Puempel
25,Stuart Percy
26,Phillip Danault
27,Vladislav Namestnikov
28,Zack Phillips
29,Nicklas Jensen
30,Rickard Rakell
