,Round 1,Round 1,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
1,Edmonton Oilers,Nail Yakupov\yakupna01,RU,RW,18,2016,Sarnia (OHL),252,50,61,111,-88,102,,,,,,
2,Columbus Blue Jackets,Ryan Murray\murrary01,CA,D,18,2016,Everett (WHL),160,9,40,49,-5,58,,,,,,
3,Montreal Canadiens,Alex Galchenyuk\galchal01,US,C,18,2016,Sarnia (OHL),275,72,88,160,2,105,,,,,,
4,New York Islanders,Griffin Reinhart\reinhgr01,CA,D,18,2016,Edmonton (WHL),37,0,2,2,-5,26,,,,,,
5,Toronto Maple Leafs,Morgan Rielly\riellmo01,CA,D,18,2016,Moose Jaw (WHL),236,19,73,92,-47,54,,,,,,
6,Anaheim Ducks,Hampus Lindholm\lindhha01,SE,D,18,2016,Rogle Jr. (Sweden-Jr.),236,23,69,92,61,108,,,,,,
7,Minnesota Wild,Matt Dumba\dumbama01,CA,D,18,2016,Red Deer (WHL),152,19,25,44,9,63,,,,,,
8,Pittsburgh Penguins,Derrick Pouliot\poulide01,CA,D,18,2016,Portland (WHL),56,2,12,14,-7,6,,,,,,
9,Winnipeg Jets,Jacob Trouba\troubja01,US,D,18,2016,USA U-18 (USHL),211,23,49,72,16,151,,,,,,
10,Tampa Bay Lightning,Slater Koekkoek\koekksl01,CA,D,18,2016,Peterborough (OHL),12,0,1,1,-1,4,,,,,,
11,Washington Capitals,Filip Forsberg\forsbfi01,SE,C,18,2016,Leksand (Sweden-2),182,60,73,133,3,75,,,,,,
12,Buffalo Sabres,Mikhail Grigorenko\grigomi01,RU,C,18,2016,Quebec (QMJHL),142,12,29,41,-12,12,,,,,,
13,Dallas Stars,Radek Faksa\faksara01,CZ,C,18,2016,Kitchener (OHL),45,5,7,12,9,16,,,,,,
14,Buffalo Sabres,Zemgus Girgensons\girgeze01,LV,C,18,2016,Dubuque (USHL),202,30,40,70,-22,59,,,,,,
15,Ottawa Senators,Cody Ceci\cecico01,CA,D,18,2016,Ottawa (OHL),205,18,38,56,1,38,,,,,,
16,Washington Capitals,Tom Wilson\wilsoto01,CA,RW,18,2016,Plymouth (OHL),231,14,36,50,3,486,,,,,,
17,San Jose Sharks,Tomas Hertl\hertlto01,CZ,C,18,2016,Slavia (Czech),200,49,53,102,22,46,,,,,,
18,Chicago Blackhawks,Teuvo Teravainen\teravte01,FI,LW,18,2016,Jokerit (Finland),115,17,27,44,2,22,,,,,,
19,Tampa Bay Lightning,Andrei Vasilevskiy\vasilan02,RU,G,18,2016,Ufa 2 (Russia-Jr.),40,0,0,0,0,0,40,18,15,1,.913,2.60
20,Philadelphia Flyers,Scott Laughton\laughsc01,CA,C,18,2016,Oshawa (OHL),107,9,18,27,-3,51,,,,,,
21,Calgary Flames,Mark Jankowski\jankoma01,CA,C,18,,Stanstead College (High-QC),,,,,,,,,,,,
22,Pittsburgh Penguins,Olli Maatta\maattol01,FI,D,18,2016,London (OHL),165,16,41,57,36,46,,,,,,
23,Florida Panthers,Michael Matheson\mathemi01,CA,D,18,2016,Dubuque (USHL),3,0,0,0,1,2,,,,,,
24,Boston Bruins,Malcolm Subban\subbama01,CA,G,18,2015,Belleville (OHL),1,0,0,0,0,0,1,0,1,0,.500,5.81
25,St. Louis Blues,Jordan Schmaltz\schmajo01,US,D,18,,Green Bay (USHL),,,,,,,,,,,,
26,Vancouver Canucks,Brendan Gaunce\gauncbr01,CA,C,18,2016,Belleville (OHL),20,1,0,1,-9,2,,,,,,
27,Phoenix Coyotes,Henrik Samuelsson\samuehe01,US,C/RW,18,2015,Edmonton (WHL),3,0,0,0,-2,2,,,,,,
28,New York Rangers,Brady Skjei\skjeibr01,US,D,18,2016,USA U-18 (USHL),7,0,0,0,1,4,,,,,,
29,New Jersey Devils,Stefan Matteau\mattest02,US,LW,18,2016,USA U-18 (USHL),56,3,3,6,-14,27,,,,,,
30,Los Angeles Kings,Tanner Pearson\pearsta01,CA,LW,20,2016,Barrie (OHL),146,30,29,59,27,40,,,,,,
,Round 2,Round 2,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
31,Columbus Blue Jackets,Oscar Dansk\danskos01,SE,G,18,,Brynas Jr. (Sweden-Jr.),,,,,,,,,,,,
32,Edmonton Oilers,Mitchell Moroz\morozmi01,CA,LW,18,,Edmonton (WHL),,,,,,,,,,,,
33,Montreal Canadiens,Sebastian Collberg\collbse01,SE,RW,18,,Frolunda (Sweden),,,,,,,,,,,,
34,New York Islanders,Ville Pokka\pokkavi01,FI,D,18,,Karpat (Finland),,,,,,,,,,,,
35,Toronto Maple Leafs,Matt Finn\finnma01,CA,D,18,,Guelph (OHL),,,,,,,,,,,,
36,Anaheim Ducks,Nicolas Kerdiles\kerdini01,US,LW,18,,USA U-18 (USHL),,,,,,,,,,,,
37,Nashville Predators,Pontus Aberg\abergpo01,SE,LW,18,,Djurgarden (Sweden),,,,,,,,,,,,
38,Carolina Hurricanes,Phillip Di Giuseppe\digiuph01,CA,LW,18,2016,Michigan (CCHA),41,7,10,17,0,18,,,,,,
