Source Rank,Full Name
1,Jonathan Drouin
2,Nathan MacKinnon
3,Seth Jones
4,Valeri Nichushkin
5,Aleksander Barkov
6,Elias Lindholm
7,Sean Monahan
8,Rasmus Ristolainen
9,Max Domi
10,Hunter Shinkaruk
11,Darnell Nurse
12,Ryan Pulock
13,Andre Burakovsky
14,Bo Horvat
15,Alexander Wennberg
16,Nikita Zadorov
17,Pavel Buchnevich
18,Adam Erne
19,Valentin Zykov
20,Josh Morrissey
21,Robert Hagg
22,Anthony Mantha
23,Madison Bowey
24,Artturi Lehkonen
25,J.T. Compher
26,Mirco Mueller
27,Jacob De La Rose
28,Steven Santini
29,Curtis Lazar
30,Shea Theodore
