Full Name,Last Name,TOI,PS,PS/60,PS/60 Rank
Vladimir Tarasenko,Tarasenko,4329,30,0,1
Tyler Seguin,Seguin,7428,47,0,2
Tyler Toffoli,Toffoli,3450,21,0,3
Scott Wedgewood,Wedgewood,240,1,0,4
John Klingberg,Klingberg,3144,16,0,5
Taylor Hall,Hall,7227,38,0,6
Evgeny Kuznetsov,Kuznetsov,2723,14,0,7
Jaden Schwartz,Schwartz,3981,20,0,8
Brendan Gallagher,Gallagher,4141,21,0,9
Mark Stone,Stone,3185,16,0,10
Kevin Hayes,Hayes,2109,9,0,11
Jeff Skinner,Skinner,7131,32,0,12
Oscar Lindberg,Lindberg,836,3,0,13
Ryan Johansen,Johansen,5947,25,0,14
Calvin Pickard,Pickard,1880,7,0,15
Ryan Spooner,Spooner,1963,7,0,16
Justin Faulk,Faulk,7740,27,0,17
Philipp Grubauer,Grubauer,2143,7,0,18
Joonas Donskoi,Donskoi,1075,3,0,19
Brock Nelson,Nelson,3609,12,0,20
Micheal Ferland,Ferland,2731,9,0,21
Nick Bjugstad,Bjugstad,3633,11,0,22
Petr Mrazek,Mrazek,5113,16,0,23
Teemu Pulkkinen,Pulkkinen,794,2,0,24
Alex Petrovic,Petrovic,1318,4,0,25
Nino Niederreiter,Niederreiter,4258,13,0,26
Frederik Andersen,Andersen,6972,21,0,27
Jason Zucker,Zucker,2438,7,0,28
Charlie Coyle,Coyle,4365,12,0,29
Cam Fowler,Fowler,9278,27,0,30
Brandon Davidson,Davidson,1160,3,0,31
Tom Kuhnhackl,Kuhnhackl,512,1,0,32
Louis Domingue,Domingue,2513,7,0,33
Mikael Granlund,Granlund,4149,11,0,34
Zach Hyman,Hyman,250,0,0,35
Dylan McIlrath,McIlrath,502,1,0,36
Riley Sheahan,Sheahan,3089,8,0,37
Beau Bennett,Bennett,1615,4,0,38
Anthony Bitetto,Bitetto,422,1,0,39
Derek Forbort,Forbort,154,0,0,40
Mark Pysyk,Pysyk,2173,5,0,41
Radko Gudas,Gudas,3805,8,0,42
Calle Jarnkrok,Jarnkrok,2426,5,0,43
Zach Trotman,Trotman,1178,2,0,44
Devante Smith-Pelly,Smith-Pelly,2736,5,0,45
Connor Brickley,Brickley,200,0,0,46
