Team,Season,TOI,xGF,xGA,xGF60,xGA60,xG,GF,GA,GF60,GA60,GF.
BOS,20162017,1097,40.04,31.33,2.19,1.714,0.561,36,35,1.969,1.914,0.507
PIT,20162017,1079,48.65,41.24,2.705,2.293,0.541,46,40,2.558,2.224,0.535
TOR,20162017,1065,51.78,44.2,2.917,2.49,0.539,56,51,3.155,2.873,0.523
CAR,20162017,1086,43.9,38.02,2.425,2.101,0.536,36,44,1.989,2.431,0.45
MIN,20162017,1065,38.25,33.26,2.155,1.874,0.535,41,33,2.31,1.859,0.554
S.J,20162017,1108,44.41,38.59,2.405,2.09,0.535,33,37,1.787,2.004,0.471
STL,20162017,1068,40.77,36.57,2.29,2.054,0.527,38,42,2.135,2.36,0.475
L.A,20162017,1062,38.58,35.06,2.18,1.981,0.524,44,34,2.486,1.921,0.564
NSH,20162017,1058,42.16,38.38,2.391,2.177,0.523,42,37,2.382,2.098,0.532
ANA,20162017,1078,41.43,38.25,2.306,2.129,0.52,37,37,2.059,2.059,0.5
EDM,20162017,1157,49.35,45.61,2.559,2.365,0.52,49,46,2.541,2.385,0.516
NYR,20162017,1174,48.06,44.39,2.456,2.269,0.52,62,45,3.169,2.3,0.579
BUF,20162017,1074,38.2,37.13,2.134,2.074,0.507,26,35,1.453,1.955,0.426
MTL,20162017,1110,42.15,41.72,2.278,2.255,0.503,46,33,2.486,1.784,0.582
CBJ,20162017,1058,43.47,43.06,2.465,2.442,0.502,46,35,2.609,1.985,0.568
OTT,20162017,1143,42.21,42.45,2.216,2.228,0.499,38,42,1.995,2.205,0.475
WSH,20162017,1018,39.21,39.75,2.311,2.343,0.497,42,29,2.475,1.709,0.592
FLA,20162017,1133,40.15,40.75,2.126,2.158,0.496,39,41,2.065,2.171,0.487
WPG,20162017,1178,40.76,42.49,2.076,2.164,0.49,45,47,2.292,2.394,0.489
CHI,20162017,1182,43.37,45.6,2.202,2.315,0.487,46,29,2.335,1.472,0.613
PHI,20162017,1170,41.41,43.78,2.124,2.245,0.486,46,54,2.359,2.769,0.46
T.B,20162017,1133,38.94,41.83,2.062,2.215,0.482,43,47,2.277,2.489,0.478
COL,20162017,993,31.99,34.46,1.933,2.082,0.481,34,41,2.054,2.477,0.453
CGY,20162017,1180,40.24,44.72,2.046,2.274,0.474,40,45,2.034,2.288,0.471
DAL,20162017,1131,41.25,45.93,2.188,2.437,0.473,37,52,1.963,2.759,0.416
DET,20162017,1114,36.16,41.13,1.948,2.215,0.468,36,39,1.939,2.101,0.48
VAN,20162017,1155,42,47.73,2.182,2.479,0.468,37,54,1.922,2.805,0.407
NYI,20162017,1020,36.7,44.12,2.159,2.595,0.454,38,42,2.235,2.471,0.475
N.J,20162017,1045,33.57,40.8,1.927,2.343,0.451,36,41,2.067,2.354,0.468
ARI,20162017,1039,32.85,49.65,1.897,2.867,0.398,37,45,2.137,2.599,0.451
