Team,Season,ExpGF,ExpGA,ExpGF%,GF,GA,GF%,dGF,dGA,d%
DET,20072008,165.21,118.48,58.24,146,103,58.63,-19.21,-15.48,0.40
S.J,20072008,153.57,113.31,57.54,130,120,52.00,-23.57,6.69,-5.54
CHI,20092010,174.42,131.23,57.06,178,147,54.77,3.58,15.77,-2.29
T.B,20102011,169.79,130.35,56.57,153,149,50.66,-16.79,18.65,-5.91
S.J,20132014,184.55,142.17,56.49,161,141,53.31,-23.55,-1.17,-3.18
PIT,20112012,189.52,146.60,56.38,187,159,54.05,-2.52,12.40,-2.34
CHI,20132014,180.01,141.42,56.00,182,148,55.15,1.99,6.58,-0.85
L.A,20132014,164.56,129.55,55.95,131,103,55.98,-33.56,-26.55,0.03
S.J,20102011,182.06,144.44,55.76,153,129,54.26,-29.06,-15.44,-1.51
S.J,20082009,168.47,134.57,55.59,131,122,51.78,-37.47,-12.57,-3.81
DET,20112012,168.88,136.86,55.24,179,122,59.47,10.12,-14.86,4.23
WSH,20082009,165.87,135.42,55.05,151,137,52.43,-14.87,1.58,-2.62
NYR,20122013,100.21,82.11,54.96,90,67,57.32,-10.21,-15.11,2.36
NYI,20142015,194.97,160.13,54.91,171,158,51.98,-23.97,-2.13,-2.93
L.A,20122013,94.38,77.69,54.85,86,79,52.12,-8.38,1.31,-2.73
DET,20082009,177.16,146.01,54.82,170,140,54.84,-7.16,-6.01,0.02
CHI,20122013,98.18,81.55,54.63,107,68,61.14,8.82,-13.55,6.52
STL,20112012,164.71,136.81,54.63,135,102,56.96,-29.71,-34.81,2.34
WSH,20072008,157.31,130.90,54.58,146,136,51.77,-11.31,5.10,-2.81
T.B,20142015,170.16,141.94,54.52,179,137,56.65,8.84,-4.94,2.12
MIN,20142015,170.41,142.33,54.49,165,146,53.05,-5.41,3.67,-1.44
L.A,20142015,165.69,139.49,54.29,154,126,55.00,-11.69,-13.49,0.71
N.J,20132014,154.45,130.45,54.21,123,134,47.86,-31.45,3.55,-6.35
S.J,20112012,173.29,146.57,54.18,141,132,51.65,-32.29,-14.57,-2.53
N.J,20122013,85.61,72.64,54.10,63,74,45.99,-22.61,1.36,-8.12
NSH,20142015,168.68,143.55,54.03,166,126,56.85,-2.68,-17.55,2.82
STL,20132014,152.50,130.53,53.88,156,128,54.93,3.50,-2.53,1.05
BUF,20102011,184.38,158.20,53.82,162,143,53.11,-22.38,-15.20,-0.71
NYR,20132014,175.76,151.48,53.71,142,131,52.01,-33.76,-20.48,-1.70
CGY,20082009,165.57,143.11,53.64,160,152,51.28,-5.57,8.89,-2.36
